CardNumber,VIC,ExpiryDate,Balance
1768010261385950,552,02/20,424
2765984922114200,593,02/20,503
3677053413138930,401,01/20,159
8384490522130640,450,06/20,522
8038010600009130,752,10/20,335
7325837835110460,865,04/20,123
8289409892983590,297,07/20,450
2962241509948330,842,05/20,727
4496963476136670,178,08/20,718
9233778505439690,861,12/20,554
2347430542029670,535,01/20,797
3709006706293250,982,10/20,87
9457223337061760,986,11/20,419
6337268386359930,966,02/20,593
1625991705409740,555,10/20,230
7046510917530490,756,09/20,104
2813580174550740,393,12/20,301
8019983269572070,421,01/20,509
7969657957662730,598,03/20,84
5407217814331710,885,06/20,598
5096664542215970,910,04/20,103
8246340117569910,943,10/20,341
6773127461904120,928,01/20,375
7302032180464750,399,01/20,736
8980621163785660,903,12/20,459
4993942515237700,911,10/20,753
8577943051969940,472,12/20,389
9782532175644750,479,03/20,168
1702575321798820,373,01/20,463
9961128232563090,761,01/20,425
8701634655743350,429,05/20,55
3810444244310810,535,07/20,645
3838980602208770,482,04/20,128
8346667263772720,863,09/20,271
9416892278411570,396,04/20,193
2625614596140270,668,10/20,720
1873945555098160,188,06/20,676
6414303819388470,173,09/20,317
5893229519453190,524,07/20,642
1052896933298630,287,09/20,451
6601301675021550,667,04/20,219
6823221582723110,316,08/20,209
8455953541687100,957,06/20,338
1796045544606330,854,02/20,170
4216657218195460,847,07/20,451
6904883156225640,218,08/20,414
9831572801510560,924,09/20,166
3126770367541120,282,06/20,755
6928121488806510,776,09/20,621
5476646924770060,470,11/20,175
6560241745915760,989,03/20,615
7068989839460670,367,10/20,339
6939216508474560,446,11/20,439
4998029828853390,594,06/20,576
4977620431568300,379,12/20,532
6251927989622260,214,12/20,256
7464922697884650,563,02/20,392
2622536706115370,325,06/20,172
5231273317380780,977,11/20,693
2138296348708810,352,06/20,353
8681424064072270,179,04/20,193
7468324499144640,650,05/20,67
8624496746765400,106,08/20,542
5902629423730190,175,04/20,205
7358051438967920,844,03/20,713
8557787453204080,990,11/20,780
5822016161850970,888,09/20,77
9110185154004810,861,04/20,603
3364429779365260,466,10/20,481
1632746161661990,512,11/20,508
1561067005083710,568,02/20,714
6527827470926950,930,12/20,790
9992934735020480,712,10/20,362
4690978020064110,366,03/20,324
9334188464895100,494,08/20,490
7229262048798520,451,01/20,243
2369044437794840,614,11/20,579
6954878350977990,437,07/20,249
1957651244463770,316,05/20,362
7348764497386350,898,11/20,653
3660199509884770,938,07/20,177
4602315882921060,451,04/20,299
8032225474154260,595,01/20,319
1644251865427810,715,12/20,368
2413376398766520,751,10/20,447
5334594116899820,636,10/20,290
2341410998741340,716,08/20,669
8986509193030310,854,10/20,523
4898770274568780,279,12/20,713
9862807961156550,290,01/20,551
4557168359313890,433,07/20,681
7255383181021170,863,04/20,220
4897406214275780,169,08/20,401
3715367751571850,899,07/20,766
7266494147386280,945,08/20,121
4026380737379340,235,08/20,608
4457524688169450,979,12/20,450
1285422312525240,209,04/20,587
8077676006670330,408,07/20,126
